,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Ostrovnoy,68.0531,39.5131,40.71,89,100,19.98
1,Kualakapuas,-3.0091,114.3876,78.96,71,100,3.49
2,Porto Nacional,-10.7081,-48.4172,75.2,40,0,2.66
3,Atuona,-9.8,-139.0333,77.47,72,96,10.25
4,Ushuaia,-54.8,-68.3,38.86,70,75,4.61
5,Torbay,47.6666,-52.7314,51.39,99,90,10.36
6,Vila Velha,-20.3297,-40.2925,64.35,94,40,3.44
7,Los Llanos de Aridane,28.6585,-17.9182,66.13,84,0,19.57
8,Port Hedland,-20.3167,118.5667,75.25,46,10,8.05
9,Alofi,-19.0595,-169.9187,80.49,78,75,10.36
10,Ucluelet,48.9329,-125.5528,64.29,71,100,1.01
11,Hilo,19.7297,-155.09,77.41,80,90,12.66
12,Mossamedes,-15.1961,12.1522,64.87,81,0,4.56
13,Mount Gambier,-37.8333,140.7667,46.31,87,90,12.66
14,Baoying,33.2292,119.3092,82.94,77,100,10.0
15,Punta Arenas,-53.15,-70.9167,33.91,86,40,11.5
16,Puerto Ayora,-0.7393,-90.3518,72.55,87,100,5.99
17,Busselton,-33.65,115.3333,54.05,78,92,24.63
18,Pisco,-13.7,-76.2167,62.65,77,90,11.5
19,Mokhsogollokh,61.4681,128.9203,76.32,41,100,4.94
20,Esperance,-33.8667,121.9,54.88,64,100,23.94
21,Kapaa,22.0752,-159.319,79.38,83,75,5.01
22,Rikitea,-23.1203,-134.9692,73.51,73,0,19.33
23,Cabo San Lucas,22.8909,-109.9124,90.03,51,1,9.22
24,Avanigadda,16.0215,80.9181,77.14,83,100,9.06
25,Benghazi,32.1167,20.0667,79.03,70,0,15.59
26,Padang,-0.9492,100.3543,82.45,75,58,1.01
27,Meulaboh,4.1363,96.1285,78.26,83,57,2.39
28,Upernavik,72.7868,-56.1549,41.0,93,100,1.39
29,Noumea,-22.2763,166.4572,76.98,74,87,7.18
30,Jamestown,42.097,-79.2353,63.45,67,1,1.81
31,Fortuna,40.5982,-124.1573,61.59,73,1,8.95
32,Saskylakh,71.9167,114.0833,66.29,67,53,9.1
33,Hermanus,-34.4187,19.2345,43.9,73,68,9.75
34,Qaanaaq,77.484,-69.3632,43.75,71,8,4.9
35,Taoudenni,22.6783,-3.9836,98.87,19,0,7.54
36,Bethel,41.3712,-73.414,68.18,79,20,0.0
37,Djibouti,11.5,42.5,90.82,50,75,6.55
38,Yellowknife,62.456,-114.3525,61.32,100,90,10.36
39,Saint-Leu,-21.15,55.2833,63.61,63,2,2.71
